number_of_cycles,SOH,mileage,asoc_inc,amili_inc,max_temp,min_temp,amax_temp,amin_temp,SOC_process,time,aver_vol,aver_cur,duration_process,alarm_info,one,two,three,four,five
200,140.5933333,423850,29,483.3333333,29,7,28,10.33333333,"99.0,98.0;99.0,99.0;99.0,63.0;63.0,99.0;99.0,45.0;45.0,96.0;96.0",2018/11/27 10:14,3401.877531,-499.145827,-1731.0;15.0;-24299.0;1900.0;-39004.0;2666.0;,0;0;0;0;0,0.10151004,0.015439197,0.19210371,-0.119126745,-0.18458627
201,140.5933333,425300,34.5,725,29,8,28,9.5,"96.0,63.0;63.0,96.0;96.0,48.0;48.0,84.0;84.0",2018/11/27 23:50,3398.707045,-511.6747463,-23310.0;1747.0;-22013.0;1887.0;,0;0;0;0;0,0.36388338,0.5464717,0.17235185,0.44125348,-0.141123
202,139.5933333,427330,28.2,406,28,6,26,8.8,"84.0,76.0;76.0,83.0;83.0,82.0;82.0,93.0;93.0,56.0;56.0,98.0;98.0,74.0;74.0,95.0;95.0,39.0;39.0,99.0;99.0",2018/11/28 23:34,3390.643491,-346.7901227,-2238.0;1796.0;-2099.0;3015.0;-30428.0;2171.0;-9829.0;1120.0;-29622.0;3107.0;,0;0;0;0;0,1.0256811,-0.36338434,0.07654445,0.41449496,1.0833074
203,139.5933333,428530,27.5,600,26,8,26,9,"99.0,80.0;80.0,100.0;100.0,49.0;51.0,86.0;86.0",2018/11/29 11:58,3381.531294,-306.2203852,-5389.0;6269.0;-30965.0;1792.0;,0;0;0;0;0,0.8374215,0.13970232,-0.000194343,-0.21078701,-0.13703315
204,139.5933333,430640,43,700,30,8,26,9,"87.0,53.0;53.0,98.0;98.0,57.0;58.0,100.0;100.0,54.0;54.0,96.0;96.0",2018/11/30 10:30,3380.938164,-309.1828264,-15633.0;2441.0;-20425.0;12178.0;-21635.0;3400.0;,0;0;0;0;0,0.34312773,0.3690626,0.07496251,0.27797857,0.23884512
205,139.5933333,432220,44,790,30,10,29,10.5,"96.0,60.0;60.0,98.0;98.0,43.0;43.0,93.0;93.0",2018/12/1 0:23,3397.700182,-509.267464,-20903.0;2031.0;-24390.0;2672.0;,0;0;0;0;0,0.6128793,0.041825123,0.007270074,0.18201946,0.08931389
206,139.465,433990,55.5,885,33,9,31.5,10.5,"93.0,45.0;45.0,99.0;99.0,39.0;39.0,96.0;96.0",2018/12/1 18:16,3391.249549,-503.9326537,-30445.0;2824.0;-28005.0;3106.0;,0;0;0;0;0,0.05440191,0.19071569,-0.001729508,-0.15992239,0.77952737
207,139.4123334,435610,35.5,810,31,11,29,11,"96.0,46.0;46.0,99.0;99.0,59.0;59.0,77.0;77.0",2018/12/2 9:05,3384.546736,-493.0394918,-21991.0;2854.0;-27447.0;1007.0;,0;0;0;0;0,-0.38400662,0.051014964,-0.91817385,0.22726144,0.046883006
208,139.4123334,436860,19.4,250,32,10,28.6,11.6,"77.0,77.0;77.0,77.0;77.0,77.0;77.0,78.0;78.0,78.0;78.0,78.0;78.0,50.0;50.0,98.0;98.0,51.0;51.0,99.0;99.0",2018/12/2 21:01,3364.77331,-280.2254326,143.0;50.0;273.0;56.0;95.0;0.0;-10701.0;2607.0;-26485.0;2556.0;,0;0;0;0;0,0.013079555,-0.09427877,0.24053793,0.22112712,0.2618309
209,139.4123334,438850,36.33333333,663.3333333,29,10,28.66666667,11,"99.0,63.0;63.0,99.0;99.0,63.0;63.0,99.0;99.0,59.0;59.0,96.0;96.0",2018/12/3 16:32,3396.394944,-449.7837683,-18439.0;1893.0;-27408.0;1894.0;-17593.0;3038.0;,0;0;0;0;0,0.32754824,-0.04244455,0.14610559,0.27710798,-0.18681781
210,139.4856667,440520,50.5,835,31,8,29.5,9,"96.0,40.0;40.0,97.0;97.0,53.0;55.0,99.0;99.0",2018/12/4 10:18,3395.232664,-510.5636044,-30371.0;3075.0;-27989.0;2280.0;,0;0;0;0;0,0.022626767,0.05012127,-0.18381721,0.053589523,0.039005015
211,139.6,442340,64.5,910,26,5,23.5,6,"99.0,38.0;38.0,100.0;100.0,32.0;32.0,99.0;99.0",2018/12/5 12:12,3381.021978,-312.6120898,-25645.0;18589.0;-45948.0;3045.0;,1;0;0;0;0,0.5000199,0.31095326,0.79293394,-1.2963561,1.8865306
212,138.6,444100,44.5,880,28,7,27.5,8,"99.0,52.0;52.0,99.0;99.0,40.0;40.0,82.0;82.0",2018/12/5 23:30,3396.59737,-505.3151338,-14189.0;2274.0;-21937.0;2259.0;,1;0;0;0;0,1.0014601,0.18081246,-0.094229676,0.07367725,1.0428048
213,138.6,445010,44,455,24,5,24,6,"82.0,56.0;56.0,100.0;100.0,55.0;55.0,99.0;99.0",2018/12/6 10:34,3387.354928,-304.0588336,-6578.0;12580.0;-18379.0;2310.0;,1;0;0;0;0,0.28237566,0.1725097,0.88267416,0.18909566,0.2657735
214,138.6,446460,1.528571429,20.71428571,25,2,21.58571429,6.9,"99.0,55.0;55.0,98.0;98.0,90.0;90.0,94.0;94.0,94.0;94.0,95.0;90.0",2018/12/7 0:25,3382.524546,-77.19315565,-17870.0;2205.0;-4055.0;1298.0;29.0;-19411.0;2657.0;,1;0;0;0;0,0.053725366,0.15830836,1.444073,0.03031785,0.27140728
215,138.798,447730,37.66666667,423.3333333,23,0,19.33333333,1.666666667,"90.0,68.0;68.0,88.0;88.0,71.0;71.0,89.0;89.0,21.0;21.0,96.0;96.0",2018/12/7 16:06,3378.558621,-244.0644936,-4655.0;5432.0;-18388.0;4718.0;-19916.0;3314.0;,1;0;0;0;0,0.42591792,-1.6246252,3.5798402,1.9976237,1.9283324
216,138.8823333,448540,41.5,405,22,1,19.5,1,"96.0,42.0;42.0,99.0;99.0,60.0;60.0,86.0;86.0",2018/12/8 2:38,3386.384454,-323.0339667,-18756.0;2481.0;-10212.0;6520.0;,1;0;0;0;0,-0.74608576,-2.4738038,-0.1892868,0.20251593,0.66319823
217,138.8823333,449580,37.66666667,346.6666667,21,-3,18.66666667,-0.333333333,"86.0,85.0;85.0,99.0;99.0,50.0;50.0,99.0;99.0,48.0;48.0,98.0;98.0",2018/12/8 14:24,3412.893103,-394.1800918,-13607.0;3702.0;-8250.0;2043.0;-12630.0;2090.0;,1;0;0;0;0,0.20229043,-2.0177715,4.4943,2.1741772,1.8785921
218,137.8823333,450690,39.66666667,370,20,-6,15.33333333,-1.666666667,"98.0,80.0;80.0,99.0;99.0,66.0;66.0,96.0;96.0,28.0;28.0,98.0;98.0",2018/12/9 15:41,3413.112433,-363.6464025,-9832.0;4935.0;-56951.0;1314.0;-15344.0;2640.0;,1;0;0;0;0,0.15187463,-1.9992187,4.236604,1.6701953,1.7043722
219,137.8823333,451730,58.5,520,24,2,22.5,2.5,"98.0,54.0;54.0,99.0;99.0,27.0;27.0,99.0;99.0",2018/12/10 1:20,3416.436309,-533.6326786,-12513.0;1725.0;-17836.0;2640.0;,1;0;0;0;0,0.14734104,-1.4639802,2.4717443,-0.86706084,-1.0267202
220,136.7738333,452170,22,220,20,1,17,1.5,"99.0,56.0;56.0,57.0;57.0,57.0;57.0,100.0;100.0",2018/12/10 10:09,3362.797982,-344.8567945,-29570.0;48.0;202.0;1934.0;,1;0;0;0;0,0.488107,1.5925308,1.744572,0.60291225,1.1061636
221,136.7506667,453420,56,625,24,3,24,3.5,"100.0,40.0;40.0,98.0;98.0,46.0;46.0,100.0;100.0",2018/12/10 22:13,3408.930889,-529.4939444,-21043.0;2619.0;-17268.0;2499.0;,1;0;0;0;0,0.1885874,-1.2172534,3.3175929,-0.99332684,0.24621649
222,136.8536666,454820,56.5,700,26,2,24,3,"100.0,39.0;39.0,99.0;99.0,43.0;43.0,96.0;96.0",2018/12/11 11:53,3407.811166,-537.0997442,-14744.0;2710.0;-29422.0;2322.0;,1;0;0;0;0,0.65547365,2.0588326,2.748302,0.64360505,0.78215224
223,136.8588334,456540,39.66666667,573.3333333,24,1,19.33333333,2.666666667,"96.0,49.0;49.0,98.0;98.0,30.0;30.0,36.0;36.0,36.0;36.0,100.0;100.0",2018/12/12 4:28,3353.62911,-242.055539,-14005.0;2230.0;-20608.0;1815.0;1617.0;19458.0;,1;0;0;0;0,0.21528454,1.0959238,1.8047601,1.1125503,0.13446198
224,135.1091667,457160,50,620,21,1,21,1,"100.0,48.0;48.0,98.0;98.0",2018/12/12 10:22,3410.186416,-554.5115607,-19074.0;2165.0;,1;0;0;0;0,-0.06706678,-1.269904,4.388796,0.5667715,0.6301666
225,135.1091667,458580,38.33333333,436.6666667,21,0,19.66666667,2,"91.0,48.0;48.0,80.0;80.0,68.0;68.0,100.0;100.0,47.0;47.0,98.0;98.0",2018/12/13 10:27,3404.129819,-396.7699585,-17295.0;1419.0;-6174.0;8188.0;-50051.0;2132.0;,1;0;0;0;0,-0.17126669,0.5634708,2.406934,1.4512807,0.5183584
226,135.1091667,460110,38.66666667,510,18,0,16,0.333333333,"98.0,46.0;46.0,68.0;68.0,61.0;61.0,99.0;99.0,43.0;43.0,99.0;99.0",2018/12/14 4:31,3382.411716,-235.1886957,-27792.0;6030.0;-1889.0;1712.0;-13576.0;14051.0;,1;0;0;0;0,-0.18671419,-2.1946054,3.7032201,1.4151568,-0.643844
227,134.7285,461460,47.5,675,26,4,25,5,"100.0,49.0;49.0,99.0;99.0,53.0;53.0,98.0;98.0",2018/12/14 15:38,3414.338205,-530.7827417,-20051.0;2220.0;-15427.0;2307.0;,1;0;0;0;0,0.24058068,-1.1478332,3.7944484,0.37540162,0.7197856
228,134.7285,462580,39.5,560,25,5,25,5.5,"98.0,64.0;64.0,98.0;98.0,54.0;54.0,99.0;99.0",2018/12/15 0:42,3416.13758,-529.5831434,-15307.0;1741.0;-13310.0;2287.0;,1;0;0;0;0,0.43170786,-0.52589726,1.2905476,0.88274664,0.636712
229,134.7285,464270,38.66666667,563.3333333,24,4,21.33333333,4.666666667,"99.0,48.0;48.0,72.0;72.0,56.0;56.0,96.0;96.0,44.0;44.0,96.0;96.0",2018/12/15 22:02,3388.355023,-371.7026906,-33959.0;1105.0;-4731.0;2094.0;-19519.0;15387.0;,1;0;0;0;0,0.3444689,1.4610502,1.8423972,1.0295398,0.19327722
230,133.0415,465570,50,650,24,4,23.5,4.5,"100.0,47.0;47.0,99.0;99.0,50.0;50.0,98.0;98.0",2018/12/16 20:43,3415.037801,-526.8540709,-64292.0;2286.0;-13020.0;2055.0;,1;0;0;0;0,-0.16891094,1.0397812,1.396517,0.74493444,0.37941453
231,133.1425,467120,38.66666667,516.6666667,26,2,23.66666667,6,"98.0,91.0;91.0,100.0;100.0,42.0;42.0,99.0;99.0,49.0;49.0,99.0;99.0",2018/12/17 15:47,3390.50047,-319.7847945,-1624.0;2257.0;-43637.0;2421.0;-14592.0;4133.0;,1;0;0;0;0,0.23621708,1.2025495,1.222319,0.87435484,-0.3136232
232,132.0305,468740,28.5,810,27,5,23.5,5,"99.0,38.0;38.0,94.0;94.0,44.0;44.0,45.0;45.0",2018/12/18 1:40,3346.953292,-310.4197395,-21005.0;2835.0;-11361.0;356.0;,1;0;0;0;0,0.78161216,-0.08269153,-0.52249736,0.39674616,-0.17706007
233,132.0305,469650,43,303.3333333,25,3,20.33333333,4,"45.0,45.0;45.0,96.0;96.0,54.0;54.0,83.0;83.0,50.0;50.0,99.0;99.0",2018/12/18 14:49,3364.388332,-236.9486712,3398.0;12745.0;-13949.0;7632.0;-7382.0;2210.0;,1;0;0;0;0,0.16479963,0.73955685,2.0254505,0.09724716,-0.6481821
234,132.0305,471250,33.66666667,533.3333333,28,6,25,6.666666667,"99.0,49.0;49.0,77.0;77.0,77.0;77.0,98.0;98.0,47.0;47.0,99.0;99.0",2018/12/19 1:50,3386.73729,-416.7504447,-21691.0;2873.0;202.0;1168.0;-10891.0;2820.0;,1;0;0;0;0,-0.68510723,-0.9723559,1.3087434,0.29652876,-2.678778
235,132.0305,472400,37.5,575,27,6,26,7,"99.0,72.0;72.0,100.0;100.0,52.0;52.0,99.0;99.0",2018/12/19 10:52,3386.712669,-308.3970218,-5686.0;9902.0;-14563.0;2398.0;,1;0;0;0;0,0.35567847,-0.84817004,-0.9345369,0.5150608,-0.5895279
236,131.0881667,474490,42.66666667,696.6666667,32,9,30,10.33333333,"99.0,37.0;37.0,98.0;98.0,74.0;75.0,99.0;99.0,56.0;56.0,99.0;99.0",2018/12/20 0:28,3405.308412,-508.9058176,-18216.0;3226.0;-9870.0;1278.0;-14095.0;2226.0;,1;0;0;0;0,-1.7775087,-0.052424747,-2.2457187,-0.21915723,-0.16566154
237,131.0881667,476170,52,840,30,6,28,7,"99.0,50.0;50.0,98.0;98.0,43.0;43.0,99.0;99.0",2018/12/20 15:48,3400.94708,-517.3052704,-32136.0;2452.0;-17712.0;2935.0;,1;0;0;0;0,-1.0214536,-2.519156,-0.28883386,-1.1461775,-1.9574443
238,131.0881667,477510,31,446.6666667,26,5,22,6,"99.0,83.0;83.0,100.0;100.0,65.0;65.0,100.0;100.0,57.0;57.0,98.0;98.0",2018/12/21 16:37,3383.790874,-235.3945736,-19251.0;5503.0;-37704.0;9763.0;-14991.0;2125.0;,1;0;0;0;0,-0.730345,-0.2188616,1.6005915,0.26526263,0.11818891
239,131.0881667,478930,31,473.3333333,29,9,28.33333333,10.33333333,"98.0,60.0;60.0,97.0;97.0,69.0;69.0,99.0;99.0,73.0;73.0,99.0;99.0",2018/12/22 2:33,3411.478109,-505.1541452,-16576.0;1934.0;-7513.0;1672.0;-6697.0;1367.0;,1;0;0;0;0,0.32919538,0.09654428,0.010085096,0.40059832,-0.08026304
240,131.0881667,480070,39,570,27,6,27,7.5,"99.0,50.0;50.0,99.0;99.0,70.0;70.0,99.0;99.0",2018/12/22 13:57,3412.269552,-518.8878877,-27431.0;2519.0;-9570.0;1506.0;,1;0;0;0;0,-0.4122939,-1.5353609,-0.1130125,0.41580525,0.14232832
241,130.8321667,482580,37.75,627.5,27,6,25.25,6.75,"99.0,90.0;90.0,97.0;97.0,62.0;62.0,100.0;100.0,49.0;49.0,99.0;99.0,20.0;20.0,76.0;76.0",2018/12/23 12:22,3394.608171,-409.3835533,-8429.0;2157.0;-15614.0;1936.0;-10966.0;2588.0;-36419.0;2539.0;,1;0;0;0;0,0.5335849,-0.2339556,0.59133726,0.75821996,0.018374918
242,130.8321667,482960,49,380,29,10,29,10,"76.0,51.0;51.0,100.0;100.0",2018/12/23 15:01,3401.17489,-496.2388862,-7222.0;2318.0;,1;0;0;0;0,-0.99146587,-1.667117,-0.056895033,-0.30589086,0.08135864
243,130.8321667,484790,24.33333333,305,29,1,23.33333333,6.166666667,"100.0,61.0;61.0,98.0;98.0,77.0;77.0,98.0;98.0,91.0;91.0,100.0;100.0,100.0;100.0,100.0;100.0,19.0;19.0,23.0;23.0,23.0;23.0,98.0;98.0",2018/12/24 11:40,3379.535312,-322.3256998,-16496.0;1702.0;-6400.0;1055.0;-1385.0;3341.0;22176.0;62.0;-17460.0;377.0;190.0;3672.0;,1;0;0;0;0,-0.9239565,-0.5391249,0.11590516,-2.9051206,-0.4196364
244,130.8321667,485810,28.5,510,28,9,27,9,"98.0,57.0;57.0,99.0;99.0,64.0;83.0,98.0;98.0",2018/12/24 20:32,3424.367305,-515.9294582,-14048.0;1951.0;-14055.0;778.0;,1;0;0;0;0,-0.047474083,-3.4812725,0.88894975,-0.23503539,-0.5147026
245,130.9251667,487600,29.25,447.5,29,6,26.5,8,"98.0,45.0;45.0,60.0;60.0,43.0;43.0,94.0;94.0,87.0;87.0,100.0;100.0,61.0;61.0,99.0;99.0",2018/12/25 10:51,3389.249368,-413.1670641,-10767.0;812.0;-4525.0;2643.0;-1853.0;3774.0;-25214.0;1974.0;,1;0;0;0;0,-0.025356771,0.34971157,0.16850625,0.50653374,0.36724734
246,129.8466667,489250,37,550,30,8,28.33333333,9,"99.0,40.0;40.0,99.0;99.0,86.0;86.0,98.0;98.0,59.0;59.0,99.0;99.0",2018/12/25 22:18,3409.248167,-509.3488343,-16017.0;3072.0;-5792.0;637.0;-13529.0;2135.0;,1;0;0;0;0,-1.959343,-1.7565079,-0.31188148,0.39438236,-2.3048406
247,129.8466667,490630,23.5,345,27,4,24.25,6.5,"99.0,79.0;79.0,85.0;85.0,50.0;50.0,50.0;50.0,50.0;50.0,99.0;99.0,60.0;60.0,99.0;99.0",2018/12/26 9:54,3374.62794,-411.6398746,-3928.0;1555.0;-9100.0;10.0;683.0;2488.0;-22259.0;1726.0;,1;0;0;0;0,0.9614441,-0.2463844,0.92023456,-0.21008533,0.82726514
248,129.6911667,492170,43.5,770,26,4,25,4,"99.0,44.0;44.0,99.0;99.0,36.0;44.0,76.0;76.0",2018/12/26 21:52,3400.587973,-532.2171762,-17257.0;2790.0;-20798.0;1665.0;,1;0;0;0;0,0.62356776,1.9321257,2.2518475,0.49380636,0.3942641
249,129.7993333,493200,52,515,26,2,23.5,2.5,"76.0,40.0;40.0,99.0;99.0,53.0;53.0,98.0;98.0",2018/12/27 10:08,3415.803043,-540.1719279,-11260.0;2954.0;-27984.0;1962.0;,1;1;0;0;0,0.36648193,1.037969,1.2738408,-0.6779305,-1.2126001
250,129.7993333,494230,42.5,515,23,3,22,3,"98.0,42.0;42.0,89.0;89.0,60.0;60.0,98.0;98.0",2018/12/27 19:22,3417.187741,-543.5805787,-14332.0;2062.0;-15155.0;1679.0;,1;1;0;0;0,-0.27944526,0.8532202,-0.15605614,0.5987373,-0.6468022
251,128.705,495290,49.5,530,21,-1,19.5,1,"98.0,55.0;55.0,81.0;81.0,26.0;26.0,99.0;99.0",2018/12/28 10:17,3374.69185,-312.9006326,-9136.0;6384.0;-35038.0;3160.0;,1;1;0;0;0,0.21382347,-2.3977098,2.402587,-0.3518325,-1.3518906
252,128.705,496460,35,390,23,-1,21,2.333333333,"99.0,44.0;44.0,97.0;97.0,89.0;89.0,100.0;100.0,58.0;58.0,99.0;99.0",2018/12/28 21:34,3410.448413,-393.9451016,-12257.0;2225.0;-1829.0;3899.0;-18705.0;1677.0;,1;1;0;0;0,-0.069206916,-3.1575587,0.6701337,0.48268145,0.5663988
253,128.705,497680,32.75,305,20,-4,16.5,-1,"99.0,56.0;56.0,99.0;99.0,55.0;55.0,99.0;99.0,99.0;99.0,100.0;100.0,55.0;55.0,98.0;98.0",2018/12/29 11:06,3452.744434,-468.5080804,-8158.0;1787.0;-26930.0;1746.0;280.0;187.0;-8124.0;1505.0;,1;1;0;0;0,-0.6149594,-2.0218773,2.16246,-0.75806314,-0.3531084
254,128.343,498310,36,315,20,-2,18,-2,"98.0,79.0;79.0,100.0;100.0,48.0;48.0,99.0;99.0",2018/12/30 8:53,3405.957059,-305.490302,-22708.0;5919.0;-47891.0;1891.0;,1;1;0;0;0,-0.71306056,-2.1539779,2.193819,-0.7091521,-0.36934218
255,128.419,499370,55,530,23,1,22,1.5,"99.0,41.0;41.0,99.0;99.0,46.0;46.0,98.0;98.0",2018/12/30 17:25,3422.682115,-546.5787241,-11130.0;2085.0;-14939.0;2578.0;,1;1;0;0;0,-0.4240124,-2.9287777,0.33825168,-1.0301008,-1.9182984
256,127.7123333,500270,42.5,450,22,0,22,2,"98.0,67.0;67.0,99.0;99.0,46.0;46.0,99.0;99.0",2018/12/31 0:21,3428.324496,-530.6303848,-7366.0;1663.0;-13325.0;2581.0;,1;1;0;0;0,-0.2446959,-2.7010272,0.74068916,0.20003651,-0.5712994
257,127.7123333,502000,35.5,432.5,24,0,21.5,2.5,"99.0,89.0;89.0,100.0;100.0,53.0;53.0,99.0;99.0,72.0;72.0,99.0;99.0,38.0;38.0,96.0;96.0",2018/12/31 19:02,3410.159823,-425.7049491,-2490.0;2985.0;-37622.0;1953.0;-6496.0;1165.0;-12124.0;2447.0;,1;1;0;0;0,-0.14709966,-2.3755107,0.6698197,0.60496926,0.6840441
258,127.7123333,502970,17.5,242.5,22,-5,17.75,-2,"96.0,74.0;74.0,100.0;100.0,80.0;80.0,100.0;100.0,48.0;48.0,48.0;48.0,48.0;48.0,72.0;72.0",2019/1/2 12:03,3344.85942,-74.86336757,-5068.0;6711.0;-55695.0;5710.0;-67323.0;11.0;13.0;7140.0;,1;1;0;0;0,0.23050998,0.24332291,0.2661889,-2.136105,0.1558441
259,127.7123333,504330,44.66666667,453.3333333,25,4,23,4.666666667,"72.0,64.0;64.0,100.0;100.0,51.0;51.0,98.0;98.0,48.0;48.0,99.0;99.0",2019/1/2 21:17,3422.516296,-509.5916462,-3067.0;1407.0;-13554.0;2114.0;-10695.0;2395.0;,1;1;0;0;0,-0.1278212,-2.8812196,1.8685877,-0.29541478,-0.96427655
260,126.2618334,505060,54,730,26,5,26,5,"99.0,44.0;44.0,98.0;98.0",2019/1/3 1:06,3409.445719,-530.1257681,-11286.0;2441.0;,1;1;0;0;0,0.2243938,-0.1305045,-0.106763475,-0.9757106,-0.49718443
261,126.31,506250,50,595,22,1,18.5,1,"98.0,62.0;62.0,100.0;100.0,36.0;36.0,98.0;98.0",2019/1/4 12:24,3395.437506,-301.0943485,-30905.0;10653.0;-82603.0;2876.0;,1;1;0;0;0,-0.7804279,-1.2311947,4.171091,0.35181075,0.15668271
262,126.5868333,507770,59.5,760,26,4,26,4,"98.0,38.0;38.0,98.0;98.0,39.0;39.0,98.0;98.0",2019/1/5 0:55,3410.112305,-522.7375756,-19515.0;2724.0;-19808.0;3026.0;,1;1;0;0;0,0.41477266,1.2535274,-1.3522664,-0.8949061,-0.26936927
263,126.5248333,509440,27.33333333,556.6666667,26,4,23.66666667,6,"98.0,89.0;89.0,98.0;100.0,49.0;49.0,98.0;98.0,46.0;46.0,70.0;70.0",2019/1/5 18:36,3364.990305,-233.6629837,-1790.0;2545.0;-32109.0;2596.0;-18063.0;6548.0;,1;1;0;0;0,-1.1912512,-0.29358774,-0.9689715,-3.9279387,-0.8895017
264,125.5245,510570,56,565,25,-3,21.5,0.5,"70.0,46.0;46.0,98.0;98.0,39.0;39.0,99.0;99.0",2019/1/6 13:30,3417.814702,-534.2300938,-52225.0;2238.0;-11022.0;2541.0;,1;1;0;0;0,0.09799736,-3.5267756,0.6601719,-0.84129053,-0.80669206
265,125.4305,511880,45,655,27,4,25,4.5,"99.0,48.0;48.0,98.0;98.0,59.0;59.0,99.0;99.0",2019/1/6 22:51,3404.859021,-531.529907,-13298.0;2560.0;-16054.0;1750.0;,1;1;0;0;0,0.52228606,-0.06791356,-1.4415544,0.17676088,-0.35558456
266,125.5801667,512880,31,333.3333333,22,-2,21.66666667,2,"99.0,81.0;81.0,100.0;100.0,35.0;35.0,82.0;82.0,73.0;73.0,100.0;100.0",2019/1/7 23:00,3379.154971,-238.3052181,-52903.0;6075.0;-15689.0;1992.0;-1307.0;8951.0;,1;1;0;0;0,-0.06974664,-2.2790148,0.15859096,0.3398306,0.070392966
267,125.5801667,514430,46.33333333,516.6666667,21,-1,19,0.333333333,"100.0,49.0;49.0,99.0;99.0,26.0;26.0,72.0;72.0,35.0;35.0,78.0;78.0",2019/1/11 19:58,3405.538415,-473.933401,-122279.0;2090.0;-196635.0;1901.0;-8874.0;2931.0;,1;1;0;0;0,-0.81355745,-3.1127996,1.5020118,-0.5041631,-1.2145236
268,124.1126666,515020,38.5,295,22,3,22,4.5,"78.0,78.0;78.0,98.0;98.0,36.0;36.0,93.0;93.0",2019/1/12 2:02,3398.365553,-331.1315045,195.0;1390.0;-16146.0;4117.0;,1;1;0;0;0,-1.6664499,-0.004569946,-1.3868107,-0.12829435,-1.3537706
269,124.475,516190,50.5,585,23,1,22,2.5,"93.0,34.0;38.0,99.0;99.0,60.0;60.0,100.0;100.0",2019/1/12 19:31,3393.554752,-316.3193166,-40684.0;2525.0;-8378.0;10696.0;,1;1;0;0;0,-0.8633787,-3.5985894,0.5381676,-0.6021336,-0.47740743
270,124.475,517660,21.8,294,23,2,19.4,3.8,"100.0,55.0;56.0,100.0;100.0,19.0;19.0,40.0;40.0,39.0;39.0,55.0;55.0,55.0;55.0,56.0;56.0,56.0;56.0,83.0;83.0",2019/1/13 15:59,3379.54532,-364.2324052,-10974.0;3178.0;-48964.0;5074.0;-663.0;734.0;491.0;25.0;321.0;1238.0;,1;1;0;0;0,-0.54047257,0.102572285,-0.03594372,-2.2786622,-0.9686633
271,124.2656667,519070,61.5,705,26,5,25.5,5,"83.0,40.0;40.0,100.0;100.0,32.0;32.0,95.0;95.0",2019/1/14 0:25,3396.27038,-412.5288222,-9704.0;2747.0;-13359.0;4559.0;,1;1;0;0;0,0.40816465,0.83255523,-0.46222326,-3.7947845,-0.4856584
272,124.1656667,519960,25.5,445,21,1,19,2,"95.0,26.0;26.0,48.0;48.0,48.0;48.0,77.0;77.0",2019/1/14 17:19,3403.542249,-548.3913474,-58385.0;967.0;231.0;1270.0;,1;1;0;0;0,0.3917161,-2.8482714,0.82937163,-2.4533043,-0.5638858
